cat,freq,n-grams
problema,19,veiculo
policia,19,acontecer
policia,19,area
policia,19,lider
policia,19,maior
policia,19,matar
policia,19,terca
novidades,19,achar
novidades,19,aumentar
novidades,19,continuar
novidades,19,escapar
novidades,19,faltar
novidades,19,julho
novidades,19,numero
novidades,19,pais
novidades,19,poder ser
novidades,19,prever
novidades,19,ser fazer
novidades,19,viagem
esportes,19,campeao
esportes,19,conta
esportes,19,levar
esportes,19,principal
esportes,19,tricolor
trabalhador,18,aprovar
trabalhador,18,curriculo
trabalhador,18,empregar
trabalhador,18,medio
trabalhador,18,postar br
trabalhador,18,prazo
trabalhador,18,regiao
problema,18,ano passar
problema,18,crianca
problema,18,esquina
problema,18,falta
problema,18,final
problema,18,numero
problema,18,secretaria
problema,18,seguranca
policia,18,atingir
policia,18,busca
policia,18,falar
policia,18,fase
policia,18,fugir
policia,18,ladrao
policia,18,mae
policia,18,receber
policia,18,seriar
policia,18,suspeita
policia,18,violencia
policia,18,viver
novidades,18,aline custodiar
novidades,18,aline custodiar diariogaucho
novidades,18,aplicativo
novidades,18,aprender
novidades,18,aumento
novidades,18,contratar
novidades,18,custodiar
novidades,18,custodiar diariogaucho
novidades,18,custodiar diariogaucho br
novidades,18,custodio
novidades,18,custodio aline
novidades,18,custodio aline custodiar
novidades,18,equipes
novidades,18,estudante
novidades,18,ligar
novidades,18,pagar
novidades,18,profissional
novidades,18,proximo
novidades,18,revelar
novidades,18,unidade
esportes,18,nao ter
esportes,18,sabado
esportes,18,trabalho
trabalhador,17,canoa
trabalhador,17,diariogaucho br categoria
trabalhador,17,pesquisa
trabalhador,17,postar CAREN
trabalhador,17,postar CAREN CECILIA
trabalhador,17,sul
problema,17,MUNHOZ
problema,17,MUNHOZ amanda
problema,17,MUNHOZ amanda diariogaucho
problema,17,antes
problema,17,apenas
problema,17,bem
problema,17,endereco
problema,17,entrar
problema,17,explicar
problema,17,gente
problema,17,municipio
problema,17,resolver
problema,17,sair
problema,17,ser fazer
problema,17,servico
problema,17,trabalho
problema,17,ver
policia,17,aqui
policia,17,boca
policia,17,conseguir
policia,17,contato
policia,17,corpo
policia,17,gente
policia,17,residencia
policia,17,sabado
policia,17,testemunha
novidades,17,abrir
novidades,17,ainda nao
novidades,17,ajuda
novidades,17,alvorar
novidades,17,aqui
novidades,17,celular
novidades,17,comprar
novidades,17,dever ser
novidades,17,geral
novidades,17,ja ter
novidades,17,mundo
novidades,17,onibus
novidades,17,participar
